date,adj close,SMA,BB%,RSI,CCI,PPO,PPO_signal,Signal
2000-01-03,0.8946499824523926,,,,,,,1
2000-01-04,0.8707613348960876,,,,,,,2
2000-01-05,0.8420945405960083,,,,,,,2
2000-01-06,0.7871492505073547,,,,,,,0
2000-01-07,0.8002880215644836,,,,,,,2
2000-01-10,0.8265666961669922,,,,,,,1
2000-01-11,0.7931211590766907,,,,,,,2
2000-01-12,0.7728155851364136,,,,,,,0
2000-01-13,0.8050660490989685,,,,,,,2
2000-01-14,0.8397058248519897,0.8232218444347381,,,,,,2
2000-01-18,0.8755388855934143,0.8213107347488403,,,,,,1
2000-01-19,0.8671784996986389,0.8209524512290954,,,,,,2
2000-01-20,0.8647885918617249,0.8232218563556671,,,,,,2
2000-01-21,0.8552337884902954,0.8300303101539612,,49.33980113349465,,,,2
2000-01-24,0.8170105218887329,0.8317025601863861,,40.86809851532514,,,,2
2000-01-25,0.8098443746566772,0.8300303280353546,,39.498794872797724,,,,2
2000-01-26,0.7763986587524414,0.8283580780029297,,33.80574154699937,,,,2
2000-01-27,0.7357868552207947,0.8246552050113678,,28.44459556415559,,,,2
2000-01-28,0.7142868638038635,0.8155772864818573,,26.086040480647043,,,,2
2000-01-31,0.7083142399787903,0.8024381279945374,-0.0028881460379866514,25.454611809602397,-176.16800633822547,,,0
2000-02-01,0.7250375747680664,0.7873879969120026,0.11687086041369689,30.525499284326855,-143.6879728076343,,,2
2000-02-02,0.7453430891036987,0.7752044558525085,0.24107346535410906,36.20038409710811,-86.24911159220277,,,2
2000-02-03,0.7572875618934631,0.7644543528556824,0.3194338961273967,39.33927957553882,-47.47183179151055,,,2
2000-02-04,0.7752043604850769,0.7564514100551605,0.41115231668836694,43.80541004978627,-33.95007197999708,,,1
2000-02-07,0.7274261713027954,0.7474929749965668,0.20502668358896897,36.15992096440437,-68.68870815492619,,,0
2000-02-08,0.7620652914047241,0.7427150666713714,0.3838159138827009,43.81608717973998,-43.208451360417065,-3.830222425959813,,2
2000-02-09,0.7811772227287292,0.7431929230690002,0.47801607733424667,47.55338581164282,1.9159503247782337,-3.3680566796246016,,2
2000-02-10,0.9412349462509156,0.7637377321720124,1.0914021056838645,67.2194881222,151.0811264554479,-1.3345261757972329,,2
2000-02-11,0.9555681943893432,0.7878658652305603,1.0384143598262745,68.36352898703322,162.01280237853695,0.374771918556027,,2
2000-02-14,1.1084586381912231,0.8278803050518035,1.2501431109164838,77.41718944770062,228.67347643299627,3.1090925772345512,,1
2000-02-15,1.0654581785202026,0.8619223654270172,1.0402994679813509,71.2420074870134,195.26314940748532,4.717903046863302,,0
