date,adj close,Signal_actual,prediction,Signal
2017-02-21,130.8402099609375,2,112.59816750428453,2
2017-02-22,131.23260498046875,1,112.98246120745205,2
2017-02-23,130.67745971679688,0,113.36675491061955,0
2017-02-24,130.8019256591797,2,113.36675491061955,2
2017-02-27,131.06033325195312,2,113.36675491061955,1
2017-02-28,131.11778259277344,2,114.13534231695456,2
2017-03-01,133.79769897460938,1,114.51963602012206,2
2017-03-02,133.00331115722656,0,114.90392972328956,2
2017-03-03,133.78814697265625,1,114.90392972328956,2
2017-03-06,133.36700439453125,0,114.51963602012206,2
2017-03-07,133.539306640625,1,114.90392972328956,2
2017-03-08,133.0415802001953,2,114.13534231695456,1
2017-03-09,132.73529052734375,0,113.75104861378705,2
2017-03-10,133.17559814453125,2,113.36675491061955,1
2017-03-13,133.23300170898438,1,113.36675491061955,2
2017-03-14,133.0320281982422,0,113.36675491061955,2
2017-03-15,134.43902587890625,2,112.59816750428453,2
2017-03-16,134.6591339111328,1,113.75104861378705,0
2017-03-17,133.98916625976562,0,112.98246120745205,1
2017-03-20,135.39614868164062,1,112.59816750428453,2
2017-03-21,133.8455810546875,0,113.36675491061955,0
2017-03-22,135.3578643798828,1,113.75104861378705,1
2017-03-23,134.87925720214844,2,114.51963602012206,2
2017-03-24,134.6112823486328,0,116.05681083279208,0
2017-03-27,134.8410186767578,2,116.05681083279208,1
2017-03-28,137.63584899902344,2,115.67251712962457,2
2017-03-29,137.9420928955078,1,116.82539823912708,2
2017-03-30,137.76023864746094,2,117.34337014449243,2
2017-03-31,137.50184631347656,0,117.72936770097137,2
2017-04-03,137.54014587402344,2,117.34337014449243,1
2017-04-04,138.5642547607422,1,117.72936770097137,2
2017-04-05,137.8463897705078,2,117.34337014449243,1
2017-04-06,137.50184631347656,2,117.72936770097137,1
2017-04-07,137.195556640625,2,117.72936770097137,1
2017-04-10,137.0328369140625,2,117.72936770097137,2
2017-04-11,135.55886840820312,0,117.34337014449243,2
2017-04-12,135.72154235839844,1,117.34337014449243,2
2017-04-13,135.00372314453125,0,117.34337014449243,1
2017-04-17,135.75027465820312,1,117.72936770097137,2
