date,adj close,SMA,BB%,RSI,CCI,PPO,PPO_signal,Signal
2000-01-03,37.28969955444336,,,,,,,2
2000-01-04,36.03003692626953,,,,,,,2
2000-01-05,36.4099235534668,,,,,,,2
2000-01-06,35.190277099609375,,,,,,,2
2000-01-07,35.65013885498047,,,,,,,2
2000-01-10,35.910064697265625,,,,,,,2
2000-01-11,34.990325927734375,,,,,,,2
2000-01-12,33.850643157958984,,,,,,,2
2000-01-13,34.49047088623047,,,,,,,2
2000-01-14,35.910064697265625,35.57216453552246,,,,,,2
2000-01-18,36.88979721069336,35.532174301147464,,,,,,2
2000-01-19,34.230525970458984,35.3522232055664,,,,,,2
2000-01-20,33.91062927246094,35.10229377746582,,,,,,2
2000-01-21,33.19083404541016,34.9023494720459,,33.22361613218854,,,,2
2000-01-24,32.391048431396484,34.5764404296875,,30.172079219024198,,,,2
2000-01-25,32.890907287597656,34.2745246887207,,34.23752667653348,,,,2
2000-01-26,31.79121780395508,33.954613876342776,,30.08731675370059,,,,2
2000-01-27,31.591270446777344,33.72867660522461,,29.389737325028932,,,,2
2000-01-28,31.43132781982422,33.42276229858398,,28.814230507422806,,,,2
2000-01-31,31.31133460998535,32.96288928985596,0.10323771573975495,28.365462623726827,-144.26306867247135,,,2
2000-02-01,32.93090057373047,32.56699962615967,0.3399862648890698,41.58871177182552,-77.51833382346838,,,0
2000-02-02,32.25108337402344,32.369055366516115,0.26708656273828546,38.38566704800004,-59.2708717356086,,,2
2000-02-03,33.150840759277344,32.293076515197754,0.41615199230699684,44.48036379676947,-44.201765048527655,,,2
2000-02-04,34.09056854248047,32.383049964904785,0.5700930395473686,50.0389372464727,16.89550942537366,,,2
2000-02-07,34.110565185546875,32.55500164031982,0.5887553483152516,50.1533021692608,15.24322015375572,,,2
2000-02-08,35.17026901245117,32.78293781280517,0.7761916341181551,55.912813640976495,70.09802128990793,-1.6991986656411682,,2
